Nachname,Vorname,Anrede,Geschlecht,ID
Möhring,Cornelia,Cornelia Möhring,F,857724
Möller,Siemtje,Siemtje Möller,F,857744
Mörseburg,Maximilian,Maximilian Mörseburg,M,861900
Mohamed Ali,Amira,Amira Mohamed Ali,F,857720
Mohrs,Falko,Falko Mohrs,M,857730
Moll,Claudia,Claudia Moll,F,857752
Moncsek,Mike,Mike Moncsek,M,860898
Monstadt,Dietrich,Dietrich Monstadt,M,857762
Moosdorf,Matthias,Matthias Moosdorf,M,863320
Mordhorst,Maximilian,Maximilian Mordhorst,M,860900
Müller,Alexander,Alexander Müller,M,857774
Müller,Axel,Axel Müller,M,857788
Müller,Bettina,Bettina Müller,F,857768
Müller,Carsten,Carsten Müller,M,857782
Müller,Claudia,Claudia Müller,F,857790
Müller,Detlef,Detlef Müller,M,857770
Müller,Florian,Florian Müller,M,861766
Müller,Michael,Michael Müller,M,860414
Müller,Sascha,Sascha Müller,M,860318
Müller,Sepp,Sepp Müller,M,857766
Müller,Stefan,Stefan Müller,M,857778
Müller-Gemmeke,Beate,Beate Müller-Gemmeke,F,857794
Müller-Rosentritt,Frank,Frank Müller-Rosentritt,M,857786
Müntefering,Michelle,Michelle Müntefering,F,857780
Münzenmaier,Sebastian,Sebastian Münzenmaier,M,857784
Mützenich,Dr. Rolf,Dr. Rolf Mützenich,M,857772
Nacke,Dr. Stefan,Dr. Stefan Nacke,M,860956
Nanni,Sara,Sara Nanni,F,860928
Nasr,Rasha,Rasha Nasr,F,861278
Nastic,Zaklin,Zaklin Nastic,F,857806
Naujok,Edgar,Edgar Naujok,M,863324
Nestle,Dr. Ingrid,Dr. Ingrid Nestle,F,857804
Nick,Dr. Ophelia,Dr. Ophelia Nick,F,860916
Nickholz,Brian,Brian Nickholz,M,861098
Nicolaisen,Petra,Petra Nicolaisen,F,857808
Nietan,Dietmar,Dietmar Nietan,M,857810
Nolte,Jan Ralf,Jan Ralf Nolte,M,857798
Notz,Dr. Konstantin von,Dr. Konstantin von Notz,M,857802
Nouripour,Omid,Omid Nouripour,M,857814
Nürnberger,Jörg,Jörg Nürnberger,M,860288
Oehl,Lennard,Lennard Oehl,M,861610
Oellers,Wilfried,Wilfried Oellers,M,857818
Özdemir,Cem,Cem Özdemir,M,857832
Özdemir,Mahmut,Mahmut Özdemir,M,857826
Özoğuz,Aydan,Aydan Özoğuz,F,857820
Oppelt,Moritz,Moritz Oppelt,M,861820
Ortleb,Josephine,Josephine Ortleb,F,857828
Oßner,Florian,Florian Oßner,M,857822
Oster,Josef,Josef Oster,M,857816
Otte,Henning,Henning Otte,M,857830
Otte,Karoline,Karoline Otte,F,860832
Otten,Gerold,Gerold Otten,M,857834
Pahlke,Julian,Julian Pahlke,M,860840
Pantazis,Dr. Christos,Dr. Christos Pantazis,M,860892
Papenbrock,Wiebke,Wiebke Papenbrock,F,860488
Papendieck,Mathias,Mathias Papendieck,M,860472
Pau,Petra,Petra Pau,F,857870
Paus,Lisa,Lisa Paus,F,857850
Pawlik,Natalie,Natalie Pawlik,F,860626
Peick,Jens,Jens Peick,M,861118
Pellmann,Sören,Sören Pellmann,M,857858
Perli,Victor,Victor Perli,M,857872
Peterka,Tobias Matthias,Tobias Matthias Peterka,M,857866
Petry,Christian,Christian Petry,M,863314
Philippi,Dr. Andreas,Dr. Andreas Philippi,M,860874
Piechotta,Dr. med. Paula,Dr. med. Paula Piechotta,F,861256
Pilsinger,Stephan,Stephan Pilsinger,M,857848
Plobner,Jan,Jan Plobner,M,860306
Ploß,Dr. Christoph,Dr. Christoph Ploß,M,857842
Plum,Dr. Martin,Dr. Martin Plum,M,861042
Pohl,Jürgen,Jürgen Pohl,M,857846
Polat,Filiz,Filiz Polat,F,857860
Poschmann,Sabine,Sabine Poschmann,F,857864
Post,Achim,Achim Post,M,857844
Protschka,Stephan,Stephan Protschka,M,857868
Rachel,Thomas,Thomas Rachel,M,857924
Radomski,Kerstin,Kerstin Radomski,F,857880
Radwan,Alexander,Alexander Radwan,M,857896
Raffelhüschen,Claudia,Claudia Raffelhüschen,F,866132
Rainer,Alois,Alois Rainer,M,857914
Ramsauer,Dr. Peter,Dr. Peter Ramsauer,M,857876
Redder,Dr. Volker,Dr. Volker Redder,M,861060
Rehbaum,Henning,Henning Rehbaum,M,861928
Reichardt,Martin,Martin Reichardt,M,857894
Reichel,Dr. Markus,Dr. Markus Reichel,M,861274
Reichinnek,Heidi,Heidi Reichinnek,F,861074
Reinalter,Prof. Dr. Anja,Prof. Dr. Anja Reinalter,F,860176
Reinhold,Hagen,Hagen Reinhold,M,857902
Renner,Martin Erwin,Martin Erwin Renner,M,857898
Renner,Martina,Martina Renner,F,857908
Reuther,Bernd,Bernd Reuther,M,857906
Rhie,Ye-One,Ye-One Rhie,F,860996
Rief,Josef,Josef Rief,M,857912
